Symbol,Exchange,Description,Market capitalization,Sector,"Gross profit growth %, Quarterly YoY",gross_profit_yoy_growth_fy,"Gross margin %, Trailing 12 months","Revenue growth %, Quarterly YoY","Free cash flow margin %, Annual","Revenue growth %, Annual YoY",Price to earnings ratio,"Forward non-GAAP price to earnings, Annual","Enterprise value to revenue ratio, Trailing 12 months",Price to sales ratio,"Operating margin %, Trailing 12 months",Price to book ratio,"Return on equity %, Trailing 12 months","Enterprise value to EBITDA ratio, Trailing 12 months",Upcoming earnings date,"Return on capital employed %, Annual","Free cash flow, Annual",net_debt_fq,"Piotroski F-score, Annual","Altman Z-score, Annual",sloan_ratio_ttm,"Shares buyback ratio %, Annual",Buyback yield %,research_and_dev_ratio_ttm,"Interest coverage, Annual",net_debt_to_ebitda_fq,"Cash and short-term investments, Annual","Revenue per employee, Annual","Sustainable growth rate, Annual",Free float %,"Earnings per share diluted growth %, TTM YoY",free_cash_flow_per_employee_fy,"Price to earning to growth, Trailing 12 months","Net margin %, Trailing 12 months",Performance % 1 year,Analyst Rating,debt_to_equity_fy,Total common shares outstanding,"Free cash flow, Trailing 12 months","Number of employees, Annual",ebitda_per_employee_fy,"Revenue growth %, 5 year CAGR","Return on invested capital %, Annual","Net debt, Annual","Cash and equivalents, Annual","Long term debt, Annual","Debt to equity ratio, Quarterly","Piotroski F-score, Trailing 12 months","Altman Z-score, Trailing 12 months","Sloan ratio %, Annual","Research and development ratio, Annual","Net debt to EBITDA ratio, Annual","Free cash flow per share, Trailing 12 months","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Gross margin %, Annual",return_on_capital_employed_fq,Price,"Performance %, 3 months","Performance %, 6 months","Earnings per share estimate, Annual","Beta, 5 years","EBITDA margin %, Trailing 12 months","Capital expenditures per share, Trailing 12 months","Earnings per share diluted growth %, Quarterly YoY","Target price, 1 year","Average volume, 30 days","Relative strength index, 14, 1 day"
ONDS,NASDAQ,Ondas Inc,3934183183,Electronic Technology,74814.57621468455,,31.1827118187832,1079.845872893393,-80.38477459541504,605.3129189146654,37.56243756243756,14.904577013257542,25.587959629508333,33.863778409064416,-90.2041573123196,3.2843017364871945,25.6600741175079,,46251.0000,-10.08858655501193,-40780000,-1468574000,6,,39.298264182965276,-308.6620592397656,-46.50701352459114,32.025856101711206,-8.224182509505702,,616109000,102486.868686869,,97.93209999999998,,-82383.83838383839,,146.101771031751,322.47191011235947,StrongBuy,0.057580035083872404,529839000.00000006,-86579870,495,-93107.07070707071,87.93796192673113,-54.0285932596466,-590900000,594359000,13479000,0.015225269179630602,5,2.52077130925617,14.4496817084777,41.15629496757407,,-0.19452260109775799,9.293557672115305,8.65430529511528,23.9892767735704,-7.434537326127433,7.52,-20.127456186935735,-46.285714285714285,0.504543,2.690578,-76.5387395067604,0.00717863842961745,,19.8125,76800758.66666667,37.95432882858719
RDW,NYSE,Redwire Corporation,2526772163,Electronic Technology,185.45514876672934,-61.11798447868632,9.1794758436265,57.947715612020524,-56.8935032097823,10.286056277355222,,,6.983224955385785,5.330506251273729,-60.6537667337003,1.9251064449215765,-58.8755986023946,,46246.0000,-22.136010436163573,-190810000,63711000,4,,1.115855175736271,-186.43136653225852,-17.161776845172565,8.49961451161587,-4.177639532540802,,95183000,237858.865248227,,93.58539999999999,-18.97574362606233,-135326.2411347518,-0.20017684068144131,-80.9002636417061,-32.56851497769279,Buy,0.189462234532309,238825000,-156360000,1410,-94489.36170212766,42.321611860759,-33.919743197396,105650000,95183000,188817000,0.192108297579267,4,1.5986484700375,8.32905905127484,5.892104800212296,,-0.8073432255218604,13.343830567377557,11.453885051361102,5.15383996111884,-29.53567942892436,10.58,11.017838405036734,0.047281323877075954,-0.81625,3.0199172,-49.6436254239024,0.130431678305882,-342.6373626373626,15.714286,46171782.43333333,38.53992298413731
GVA,NYSE,Granite Construction Incorporated,6278526612,Industrial Services,31.074908466409855,24.18713560573916,15.8987444625609,30.43655394133632,7.473274780483317,10.400431782419988,42.12256398215544,24.70496739915151,1.5975976117121677,1.3523444864540763,5.81470196970347,6.083090644069262,18.2617925110458,16.65411840925082,46226.0000,11.020012720296563,330646000,1081089000,5,,14.809139179694144,-0.16611534380728363,0.8193005011985446,,5.553205006035195,2.4302490519212223,600241000,762823.9655172409,15.073251145151387,99.08609999999999,49.77361642269989,57007.93103448276,0.8495261122334163,3.98853038742181,53.4809111324992,StrongBuy,1.27016711787815,43746700,302192000,5800,73219.3103448276,7.174807164727226,9.42669721259827,897347000,529220000,1088966000,1.3525487806177798,6,2.9364410158453,17.234634991570395,,2.1130354720819833,6.942314319189506,141.3460976583955,124.43104597415322,16.0749339059787,12.676491031445474,143.52,14.395026303204222,19.570107473131724,5.809358,1.3010473,9.59280805175946,3.03717062188426,-23.708677685950413,169.333333,858188.5,46.89729423526356
AMSC,NASDAQ,American Superconductor Corporation,1744643051,Producer Manufacturing,29.95303531048878,48.048102992298865,29.753472280256,29.63168554497037,6.103859203422974,34.25979947760055,12.020033388981636,35.820895522388064,5.3631129381090075,5.553502866407046,6.00424529090271,3.0871793728395103,35.5609711372234,60.73599526801938,46239.0000,4.090058924988901,18260000,-140241000,6,,24.958920936762173,-20.63650294415347,-7.158541681544232,5.262489344988384,,-5.308941550575409,144241000,250338.912133891,35.5609711372234,96.50229999999999,1833.505487411233,15280.334728033473,0.006473819169408963,44.7289866457188,-11.15498519249754,StrongBuy,0.007201407154958081,48462300,18260000,1195,21183.26359832636,27.982531111664223,35.3054787092995,-140241000,144241000,2762000,0.007201407154958081,6,3.97604590291232,24.958920936762173,5.262823619862613,-5.540056885517896,0.39073031904649824,42.54746802149798,39.94083110360035,29.7531380053818,4.357392551046894,36,9.522360815333139,16.316639741518582,1.005,3.2212176,8.83020507763534,0.106691203218283,209.58466453674117,64,1279730.4333333333,36.84517482922
PL,NYSE,Planet Labs PBC,9890169872,Technology Services,37.69636368603667,22.29965897892192,55.4592803594627,42.081038255489325,18.733487799250632,25.93594486642221,,,28.742934912935176,29.506475455228053,-29.8636520744193,22.289514690999052,-83.9845763562655,,46279.0000,-16.197282586825278,57648000,-243696000,2,,-11.27637081069591,-12.004043827678776,-1.4633520138995648,34.83367698413644,-27.528521536670546,,640732000,307727,,82.43739999999998,-216.83687551752686,57648.00000000001,-0.11514338412001446,-111.171233448148,298.7068965517241,Buy,2.45437321884403,332909000,46551000,1000,-52763,22.148571523046478,-44.994363401571,-178252000,230083000,455184000,1.09991120206264,3,8.53560161323312,1.0383298739794338,34.62809568221183,,0.1347256798658762,33.692340881696325,26.408275640417727,56.0561796657427,-13.798410978593228,27.75,-23.972602739726028,22.78761061946902,-0.09709,2.0666573,-17.3694623553389,0.263987200345557,-854.6318289786225,41.1,16436630.866666667,38.69798353867141
TTMI,NASDAQ,"TTM Technologies, Inc.",15088374449,Electronic Technology,40.46404422845998,29.94556668364171,19.9860293660406,30.41740921395845,-0.02350030708673609,18.97825936556009,78.97483285318259,35.85636722606121,5.06745871687331,4.9711300586760165,9.19738772343429,8.210084123836706,11.4030523304198,35.58738991591695,46239.0000,9.655415591310339,-683000,639259000,7,,4.734930407457368,-1.3549418120140837,-0.001564118128150254,0.925876700778083,5.660594134822902,1.446470593559365,501234000,159689.285714286,10.6701077575775,97.75139999999999,145.6864316239316,-37.527472527472526,0.5375731703237914,6.29123165508515,233.84650735294113,StrongBuy,0.584212369052571,103850000,-11815000,18200,22785.824175824175,6.6610187681241495,6.63900663328232,528296000.00000006,501234000,1015689000,0.571001942142756,7,4.22756940129267,4.153444065107929,0.9975415857374125,1.2739171742600712,-0.11033394344626647,169.85446539263904,117.16157365413628,19.7544338335607,10.09460007588941,145.29,37.06603773584905,115.88410104011886,4.052,2.0980313,14.2394784468496,3.13861081020507,51.6569200779727,219.6,3106334.433333333,33.005197003693766
HNGE,NYSE,"Hinge Health, Inc.",6848141394.000001,Technology Services,53.87447247912365,55.766102337712454,80.7965442443784,47.22955784373107,28.13203824039737,50.577350641899166,,34.13237808955873,10.42655033093935,11.383732141807277,-80.9207818770867,61.25584872227913,-136.56990706067,,46238.0000,-133.55896805441893,165377000,-308898000,5,,-92.98476476149574,-125.79687437435709,-1.3948748208337591,58.015106553496445,,,363862000,4110909.0909090904,,59.653200000000005,-478.2563749138525,1156482.5174825175,,-79.2766058835724,104.01106500691563,StrongBuy,0.0212370818099203,54655926,202762000,143,-3747461.538461538,,-105.191786802131,-355823000,207995000,3816000,0.022368083194248302,,1.00291228935804,-64.54636073023879,62.62324362943558,,2.460883074010243,65.26342134436648,52.66724807285288,79.6485557785867,-137.75597550536645,88.5,132.89473684210526,75.73471008737093,2.592846,1.1116048,-80.1467334630892,0.082979343156055,-73.45337620578778,82.733333,2255831.2666666666,84.43403926224384
DY,NYSE,"Dycom Industries, Inc.",12814422639,Industrial Services,45.46420809383048,18.67384802458129,15.2983340280348,56.107541029454765,7.243389364995334,17.947585864270078,40.59556654932928,25.683763232901413,2.442890203205778,2.0077194796264806,8.03314285823964,6.758258197139991,19.6991519553984,18.511574478219767,46260.0000,11.718980708183738,401712000,2458737000,4,,24.060627143874186,-3.418685059972325,0.2955654036626628,,6.673487490979071,2.9800705403243404,710537000,283591.32746983,18.1515722026071,98.6979,33.28514728446253,20541.624053998774,1.1809003137509382,4.98121746885759,69.62830451202542,StrongBuy,1.6093529467451502,30031500,440276000,19556,36481.54019226835,11.631630174433848,7.97236667346651,2281469000,710537000,2945718000,1.5819637453948499,3,3.80849171448522,24.199433167761068,,3.197874222246518,14.491214777565997,448.7676044490295,378.3861799056358,15.6971657682271,13.385610094023809,426.7,12.236309116734173,24.828130942281252,16.613609,1.5026579,13.1965555176304,7.6230972866741,44.03432241982647,637.272727,723353.1,40.68891433689039
HTFL,NASDAQ,"Heartflow, Inc.",2255197658,Technology Services,50.903689918041586,43.14286016792131,78.0599424293558,41.34390538906061,-33.543520001817825,39.922739412438006,,,11.092173934394541,12.209504541132704,-35.8306733466724,7.880683735956411,-135.309669729988,,46240.0000,-31.859287236343835,-59048000,-131967000.00000001,5,,57.562386454472794,-5.06626914901896,-15.149182103309899,37.93497965175507,-4.222368681210044,,176786000,208818.505338078,,73.9257,,-70045.07710557533,,-58.4200985283439,-6.607142857142862,StrongBuy,0.0733551307679771,86240830,-76774000,843,-65827.99525504152,,-61.3351399184411,-154732000,44776000,16132000.000000002,0.0922203011360852,,17.4953295885974,48.90778184569846,36.87810309372054,,-0.8964770125528851,30.137159702482794,30.27808928718307,76.8016405921583,-30.68450250536865,26.15,-3.1122638014079285,-21.94029850746269,-0.491429,1.9176941,-31.175391945334,0.0678774177973002,19.774153074027613,37,1868974.0333333334,35.21718824100455
AAON,NASDAQ,"AAON, Inc.",8844827007,Producer Manufacturing,48.794634993331485,-4.92794111008134,24.5393510530267,54.30207356530271,-13.274196366904379,20.109442086895683,75.95666854248734,47.69434628975266,5.753626258072257,5.65556071509588,10.4042281865082,9.46075948923464,13.4985009093969,37.278501735025884,46233.0000,11.876494012580261,-191424000,458545000,1,,15.112934371563695,-0.3124897389495421,-0.1966234046888239,,8.250253864380007,1.8373843983907936,1239000,244544.005426488,8.647452832573459,83.3203,-25.31259850793317,-32461.251483805325,,7.30482795471496,46.93155531364813,Buy,0.48423604864886005,81911700,-148015000,5897,38256.91029336951,22.88869844854917,9.31238775289408,432145000,1239000,422587000,0.49201517005295403,2,7.0289938251824,17.32941209673843,4.035848318673912,1.9155278567027627,-1.7794551797900728,121.1487030287479,104.30909968699801,24.8260147176709,13.3324140314005,107.98,25.034738304770734,33.754490276229404,2.264,1.4121815,15.4341671212239,2.49323292484629,36.22652248150257,149.75,1013297.4333333335,33.90282947589054
SUN,NYSE,Sunoco LP,14251565433,Distribution Services,194.15322580645162,21.412169919632607,10.0221411825996,106.4105039582931,2.726082298321495,11.05186621425109,17.616527837557282,7.9000591425813065,0.9907060898997134,0.30822846684553235,5.08921594165147,1.3866847572095948,11.8851475645845,12.778901903821923,46238.0000,5.109667599815182,687000000,14697000000,6,,7.895432612862714,-0.46856482747905615,-10.335706676750169,,1.6725978647686832,6.172616547669047,891000000,2828395.0617284,-3.267326928878568,77.97480000000002,-28.982666858458,77104.37710437711,,2.41924980463662,31.258253159781173,Buy,1.85478836309152,136895000,874000000,8910,182716.04938271604,18.66582439337643,1.94998125018029,13964000000,891000000,14627000000,1.84677129507608,5,1.50498162180184,6.885974190818701,,8.577395577395578,6.3539714007892645,66.317811286646,61.664203937890406,8.39252410618626,8.211837024194184,69.58,6.816088424930914,25.391962515768597,8.807529,0.4226792,7.75266996613701,4.90724335873313,135.09321894076888,75.857143,374354.1666666667,59.482694700073466
CXDO,NASDAQ,"Crexendo, Inc.",249274234,Technology Services,18.29761423372422,14.52134908017261,57.8810766273002,28.978015818646085,13.612158375753664,12.046747098852691,54.193093727977455,18.264601587048997,3.3376714364185665,3.532308138286179,6.78110409228234,3.4258780761623044,7.0005393448133,28.18942635119462,46245.0000,7.6923076923076925,9279000,-6225000,7,,22.57863082131002,-12.246847634259,-1.2829244116742526,7.9154078549848945,249.52631578947367,-0.7219902574808629,31378000,353196.89119171,8.80122186160335,63.599,75.4017305315204,48077.720207253886,0.7355480077172796,6.14940950288382,19.968798751950082,StrongBuy,0.019445010263079602,32415400,,193,41658.0310880829,32.98876272077227,8.67571705973431,-30137000,31378000,529000,0.0140831511050598,5,6.21940856523025,-5.216895401743099,8.391157011457157,-3.7483830845771147,,7.797077471709869,7.074555873499144,59.1767277421626,7.549015860882859,7.69,21.293375394321775,16.338880484114977,0.421033,1.1077256,11.8401538039,0,-53.05039787798408,11.166667,819219.2333333333,48.963216163516954
FSS,NYSE,Federal Signal Corporation,7265979023.000001,Consumer Durables,36.53395784543326,16.41337386018237,28.4378602228579,34.88572660629582,10.415042421462967,17.13671770077894,27.026229805772374,23.958905980554082,3.3204026055586393,3.323515348162064,16.7143406053879,5.064978085496966,20.5316849330653,16.30136035003144,46226.0000,19.644429766622633,227100000,511400000,5,,18.05736636245111,0.3273322422258639,0.23947220250597187,,25.49285714285714,1.0718926849717039,63700000,375948.27586206904,16.52275044399854,97.5031,29.02017037969494,39155.17241379311,0.9896972740716818,11.5570166076079,8.095108449042565,Buy,0.430246020260492,61002300,290600000,5800,75413.79310344828,14.033921172727059,14.5895577577281,530900000,63700000,586200000,0.406273963053329,8,6.42361193588447,21.72531973585221,0.6145379500114653,1.2137631458619114,4.725203252032521,117.4548903854445,113.26711471394805,28.1036459527631,20.895602049530314,119.11,5.92263228101378,2.398555708390652,4.971429,1.2274988,20.3688682064637,0.466666666666667,52.78964228510412,141.666667,628076.1666666666,48.68688806297489
HGRAF,OTC,HydroGraph Clean Power Inc.,1108308227.4060402,Producer Manufacturing,-340.3920377708158,-19.536662081716123,-6945.95682352339,122.96227393364975,-11438.198094465519,596.2391928386872,,,11847.751441338123,13195.00382416288,-12127.2829429743,22.865051359803463,-46.9044935397607,,,-79.13418583958389,-4943272.04,-41416138.14498225,6,,-6.190553535073601,-41.81719768376559,-4.555962281498835,629.8034506789577,-517.7063622403999,,8729275.399383599,,,95.4097,-89.90934092972901,,-1.014326719165106,-14272.4075074797,1718.9655172413795,NoRating,0.00595844584220825,350176400,-9409203.3924,,,,-108.172956141514,-8666892.2697948,8729275.399383599,0,0.0311153495782117,4,404.069291082011,-21.82353388515589,841.5367819562858,,-0.027451592501194617,4.466662828745408,3.636828919162216,-7467.84046828181,-38.85987996355015,3.165,-33.086680761099366,22.437137330754354,,0.69997454,,0.005389341392619405,-163.83714236370957,,1197065.9333333333,22.230596044918045
