Symbol,Exchange,Description,Sector,Industry,Market capitalization,Price,"Revenue growth %, Quarterly YoY","Revenue growth %, Annual YoY","Gross profit growth %, Quarterly YoY","Gross margin %, Trailing 12 months","Gross margin %, Annual","Operating margin %, Trailing 12 months","Net margin %, Trailing 12 months","EBITDA margin %, Trailing 12 months","Free cash flow margin %, Annual","Free cash flow, Trailing 12 months","Free cash flow, Annual",Price to earnings ratio,"Forward non-GAAP price to earnings, Annual","Price to earning to growth, Trailing 12 months",Price to sales ratio,Price to book ratio,"Enterprise value to EBITDA ratio, Trailing 12 months","Enterprise value to revenue ratio, Trailing 12 months","Net debt, Annual","Net debt to EBITDA ratio, Annual","Debt to equity ratio, Quarterly","Return on equity %, Trailing 12 months","Return on invested capital %, Annual","Return on capital employed %, Annual","Earnings per share diluted growth %, TTM YoY","Earnings per share diluted growth %, Quarterly YoY","Earnings per share estimate, Annual","Revenue growth %, 5 year CAGR","Piotroski F-score, Trailing 12 months","Altman Z-score, Trailing 12 months","Shares buyback ratio %, Annual",Buyback yield %,"Performance %, 1 week","Performance %, 1 month","Performance %, 3 months","Performance %, 6 months",Performance % 1 year,"High, 52 weeks","Low, 52 weeks","Simple moving average, 50, 1 day","Simple moving average, 150, 1 day","Simple moving average, 200, 1 day","Exponential moving average, 21, 1 day","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Relative strength index, 14, 1 day","Average true range, 14, 1 day","Volatility, 1 month","Volatility, 1 week",Volume,"Average volume, 30 days","Relative volume, 1 week",Gap,Free float %,Total common shares outstanding,"Number of employees, Annual","Revenue per employee, Annual","Cash and equivalents, Annual","Cash and short-term investments, Annual","Long term debt, Annual",Upcoming earnings date,"Target price, 1 year","Beta, 5 years",Analyst Rating,"Interest coverage, Annual","Research and development ratio, Annual","Sustainable growth rate, Annual","Sloan ratio %, Annual","Capital expenditures per share, Trailing 12 months","Free cash flow per share, Trailing 12 months"
MP,NYSE,MP Materials Corp Class A,Non-Energy Minerals,Other Metals/Minerals,10716372526,60.17,119.66093426027564,35.12398518554855,,14.5144938329738,-2.39565522023402,-16.705746121284,-14.563022827847,11.1955430202332,-119.1220408266989,-504576000,-328130000,,3480.8515561726254,,24.611046498224614,5.473433335455877,228.09211231518637,25.53615056000538,-796440000,,0.4017453785344,-3.58527598871151,-3.22706110612354,-4.095757040171432,43.46421069639684,39.596602972399154,0.017286,15.448712198761939,5,5.04372323485592,-8.677833646049733,-11.243132851874881,6.779059449866903,35.39603960396041,-10.474631751227484,1.0072183985227487,-12.147758796904649,100.2505,37.81,51.82800000000002,57.452266666666645,57.76824999999998,54.01760687190492,53.367340649973436,55.404485811796015,62.978130079828766,3.562524223450044,6.6420639578412555,6.7229973069851505,5261094,6928046.133333334,0.4293281819892742,-0.4266805990944001,81.3587,178102000,998,276009.01803607197,1166821000,1831096000,960125000,46324.0000,73.692308,1.8895401,StrongBuy,-3.2602968903523917,1.4913398461465852,,6.881215550903738,2.35757612904074,-2.828196781570849
VICR,NASDAQ,Vicor Corporation,Electronic Technology,Electronic Components,8973292190,194.62,49.25348270620328,13.547393457324445,76.3707350195213,60.0027847631264,52.5946710947484,18.6397697929149,30.6452633710823,23.1053062395571,29.244470825433343,51268000,119230000,62.47030878859857,56.641443538998836,0.5319940139599444,19.122130681338714,10.753935889700047,77.86263081966015,17.99039929705828,-395629000,-6.86677080621366,0.0091188142664856,20.1343947040503,18.3401709084384,5.487964343431409,114.63313813296591,14.171591157802577,3.436,6.57151867621284,7,178.810277268831,-0.29710424829373727,-0.7133725130597803,-18.32640899744009,-14.894175266748293,-42.52215002953338,-0.04108885464816851,281.9073783359498,382.65,47.56,255.49710000000022,229.1589,198.47900000000013,219.49766092200923,237.94152182272592,203.32582012481666,39.35092600229191,18.991410009403644,7.445445441709076,7.744302255066158,638711,918296.1666666666,0.40327395720557524,3.9502079056792434,74.78139999999999,34389000,1092,373352.564102564,402805000,402805000,5608000,46322.0000,386.25,2.3806417,StrongBuy,,19.271475910041918,18.5008442387339,-0.08337343257328303,0.694307034459629,1.0746206087029428
WULF,NASDAQ,TeraWulf Inc.,Technology Services,Data Processing Services,8143168852,16.32,-6.022755898899992,20.281183283232536,64.68324452338662,6.33259278540858,-1.66513312160516,-227.324402365718,-1179.94043331134,,-702.4837493692678,-2504231000,-1183369000,,,-0.002983111080116491,45.51752354809228,55.28455284552845,,64.27637885382552,1739134000,,35.555280953803496,-1212.11569076165,-23.9048585070089,-6.063244384749096,-1179.5811518324608,-3973.684210526316,-2.891977,65.83157364073102,4,0.248927091178483,-2.5781941410228635,-13.654782557123376,-4.572564612326044,-17.575757575757578,-37.68613974799542,-9.983452840595692,81.53503893214683,29.84,8.6,20.3911,19.26433333333333,17.752150000000007,17.131684810195864,19.011614138338253,17.620936332234788,43.816713574792935,1.5303188376258798,8.922076924215386,8.00784281354774,30251342,33234763.233333334,0.3424225638970775,0.7751937984496073,69.97240000000001,498969000,141,1194716.3120567398,3456322000,3456592000,4657626000,46342.0000,36.605263,3.7725637,StrongBuy,-2.1035913667630344,,,12.6469466564055,4.5808402802005,-5.15555088762296
ACMR,NASDAQ,"ACM Research, Inc. Class A",Producer Manufacturing,Industrial Machinery,5555916034,79.77,36.00607321285961,15.239516287823577,28.869147337283774,43.835447477866,44.3873299833908,13.2859626199204,14.4761084322953,15.3806423761674,-7.390140340327236,-118738000,-66608000.00000001,37.891886756602695,35.5795061687647,1.3250509938711739,5.354143626210779,2.986546500944598,31.25921608109463,4.807868235026577,-870169000,-6.919447823977989,0.187790365743912,10.554963036657,7.06728486691467,6.535583510565549,27.72721757068316,180.56698673982626,2.242021,41.906758338022954,3,6.69698696896176,-4.575738728834709,-16.622983399104406,-1.2686428615632226,-9.578326909997736,-7.737682165163079,27.631999999999994,151.32325141776937,127.19,26.1,90.09520000000002,69.16366666666666,61.582175000000035,81.42226208278242,82.92939743658144,65.70945654152932,47.067419073728445,6.430199627193139,8.287647171474005,5.373580410099311,565534,1002870.8000000004,0.19576723893779557,2.8896502682784915,89.89790000000002,64657399.99999999,2513,358658.57540787896,765962000,1168077000,183999000,46337.0000,123.857143,1.9530885,StrongBuy,15.733860531991374,16.08649197999798,7.94246319525468,17.178772598576774,1.57574778280316,-1.6528369278664423
STRL,NASDAQ,"Sterling Infrastructure, Inc.",Industrial Services,Engineering & Construction,14877949788,486.39,90.1122597108393,17.690745057558637,103.79281983203947,23.0000354807319,22.0929788931864,18.1989980473964,12.5485460752203,20.9561999089134,14.508429352193472,482002000,361267000,35.04882003242659,24.566392242032425,0.7033733240692824,4.4983409500576546,10.998391361743716,20.51629222732925,4.299435213055979,-40807000,-0.08304959530443241,0.24814799806971902,38.541173528177,22.7122080280544,28.3175598840208,50.88175176132904,116.6565560273854,19.799,11.771662312526043,,,-0.04238807916788328,0.44098818005770246,-15.466300531822448,-31.571468767585817,-38.867312695599715,2.4690837845239786,73.68590201399799,1005.6802,266.13,663.5236999999998,581.4811666666664,518.1964250000003,559.1493997225286,618.6311267617197,543.3164364354251,35.18298778015421,41.81361034732457,7.237588190842504,6.269479690878033,525566,773957.5666666667,0.2995733985294721,4.006765191479064,97.4559,30588500,4400,565920.227272727,390721000,390721000,316089000,46335.0000,893.375,1.879615,StrongBuy,20.936166986758312,,30.2779195219864,15.196871567967243,3.71499213306361,15.47705744469062
EME,NYSE,"EMCOR Group, Inc.",Industrial Services,Engineering & Construction,32635592554,739.87,19.75866555152867,16.616001135786632,22.621079409094484,19.4261302763368,19.3271308107146,9.60200346546832,7.73833428998899,10.7024845714071,7.001551003501503,1171382000,1189313000,22.957722442013807,22.45494829370831,0.7035503906111318,1.8323970808658567,8.024670000671371,16.207725868458176,1.734629360447688,-637411000,-0.36126996614073525,0.13435658130965,40.3662123371855,35.112338395883,36.734294318860506,33.73516474396216,34.91460818034276,32.949085,14.06511985559642,6,7.12570875667615,2.81544309254777,1.2949420155332902,-12.272193699088183,-3.1799206982739383,-14.48072588568456,-5.144871794871794,21.242461982170948,951.96,564.92,794.8202000000006,796.3528,754.7571500000001,794.4412045822805,798.4669007627291,753.7573696605941,37.89676015940813,31.32587396320348,3.7922480685125266,3.7164110288110765,388297,445040.4666666667,0.3128760127230837,1.997646751209305,99.27459999999999,44109900,44000,386055.045454545,1111968000,1111968000,372945000,46317.0000,1033.285714,1.138085,Buy,131.27637271214644,,37.13688226051014,8.794815315023943,2.65832338523284,26.29193964369632
CRDO,NASDAQ,Credo Technology Group Holding Ltd.,Technology Services,Information Technology Services,42239105843,226.51,157.02279076606382,205.67592009615936,160.68150768907415,68.0052519781053,68.0052519781053,34.0258074953787,35.3736304560802,36.6408611686176,30.483942968251448,406996000,406996000,91.34204371320267,36.678312528823184,0.11366459501701101,32.126584813604204,20.352308514796327,83.44528768106166,30.575072010971333,-1417838000,-2.9535707292278595,0.0123317755469536,34.4076957766919,33.9952002948349,31.785231390313257,789.7739504843918,336.83424589347936,6.175584,86.80161176253584,7,90.8277860513758,-8.325105597392051,-1.7600041126893322,-15.13777794428939,-2.079370568908872,1.0618837281934572,81.98690394890129,98.97224174279688,308.6699,86.485,240.196,180.13730000000007,173.43047499999997,236.83055285784775,230.8674652693919,183.24067070294439,46.81629319838013,20.887482692857922,8.481828306065225,5.835966320605566,2643516,5108447.133333334,0.20910454786081706,2.89744396028929,89.87659999999998,186477900,807,1654418.8351920699,1164952000,1443286000,20617000,46266.0000,298.813407,3.2321174,StrongBuy,,20.89563753261889,34.4076957766919,11.391916515763285,0.297361960961382,2.11227884430743
MRVL,NASDAQ,"Marvell Technology, Inc.",Electronic Technology,Semiconductors,210516735944.99997,240.38,27.568195008705747,42.08728521145076,32.38135237295254,50.6395475559532,51.0177433919899,16.4068325475215,28.9855571233552,31.1055282146585,17.040490078832402,1665400000,1396400000,82.14188080918534,59.05765233670576,,23.49689197095363,11.554625383163357,78.25761974737229,24.342445990639085,2396000000,0.9113731456827691,0.303165383897496,16.0280381242368,14.6191098007331,7.187487413573203,,-81.00393700787401,4.07026,22.51420266306856,6,10.7267731524677,2.1593533487297973,-0.08612141889154447,9.005985851623429,18.46631511507565,10.276172125883111,196.36296387621746,229.3327853130566,329.88,61.44,232.0341,166.49623333333338,146.5166500000001,223.4422859316329,219.51600718254144,165.9472715201632,56.384701671928674,18.181620873838902,7.0980839498682755,6.5777042372586365,21346570,23811473.933333334,0.24864228870534572,3.5261023158445677,99.47590000000001,875766000,7480,1095534.7593582901,2566100000,2638800000,4394400000,46261.0000,280.609966,2.235402,StrongBuy,6.606120434353406,25.32399384960828,17.748937024603368,-5.286893153782988,0.442068733907982,1.8643232956453601
PENG,NASDAQ,Penguin Solutions Incorporation,Electronic Technology,Semiconductors,2581607214,50.38,47.636553164052984,16.911400448886805,39.56124544272801,27.9239770946393,28.8589809715706,8.1323346897752,5.84965112912997,11.5379266056773,7.310961327992441,-67053160.00000001,100072000,35985.71428571429,19.267881688016356,,1.8570463530749446,5.879524596439142,16.28300802279373,1.878721514866487,279280000,2.067408410875954,1.60619822758113,17.1713718657108,2.18268497934317,6.8876623158384875,,,2.614714,4.0494686832141635,4,2.27062156802302,1.011693601366446,9.944857316548891,-15.780675359411564,-11.830591529576475,-8.599419448476043,144.91978609625667,106.64479081214112,89.86,16.04,61.28040000000001,40.54513333333333,35.439575,56.028482853994845,56.74541834010095,41.71564127230597,41.1756352529676,4.924830065775034,7.919834026990487,6.531997006943237,1350360,2621845.566666667,0.1685373687638182,3.4333070244672492,95.5497,51242700,2900,471997.931035045,453754000,453754000,707339000,46308.0000,73.125,2.8649385,Buy,10.796851471581954,5.830022633062387,6.14235508709062,-6.797489488012058,0.195341255563491,-1.2177534823747345
NBIS,NASDAQ,Nebius Group N.V. Class A,Technology Services,Packaged Software,60343705735.00001,221.97,454.04376784015756,479.01639344263043,,18.8104198952108,-10.2491506228765,-49.3395321378498,4.54578997859488,9.26868865766292,-729.0864477160876,,-3862700000,,,,43.639057205848545,5.8356659434195155,496.4785488455437,46.01705094457622,1288200000.00016,,0.972496494366811,0.872768489656253,0.153825627663492,-8.623144480313027,-114.14427157001417,-127.73874683440896,-1.962732,-29.386509686459085,,3.02302671561536,-9.702416425377105,,-17.391142538146628,1.821100917431192,6.826768053516858,109.40566037735849,219.56521739130437,299.86,63.26,222.66520000000003,169.02336666666667,150.27252499999994,221.4086891839289,215.18415307812833,164.61471847897346,50.5539279394824,23.33885313246569,10.819991566507577,6.42524258306221,13547780,26027061.166666668,0.27509709372977476,3.342658005784463,92.9195,238400000,1543,343357.09656514804,3684900000.0004697,3684900000.0004697,4863700000.00062,46317.0000,294.333333,1.4435005,Buy,-9.946341463414214,33.465458663646714,0.249754705200244,33.05150193876117,,
NOK,NYSE,Nokia Oyj Sponsored ADR,Electronic Technology,Telecommunications Equipment,58044870116.95855,10.35,11.045129343928654,7.966247466913913,17.10459932371139,44.1354809989883,44.2807582080548,11.1297134706566,3.54855021791994,16.0139006649957,7.365880648160663,639340380,1653366700,71.47790055248618,26.57416631576785,,2.4444310594006238,2.39127772784718,14.917048888067267,2.3888013910839363,-2360644500,-0.7562177257469896,0.158480773767398,3.5409572883245,2.65893350529992,5.402882163697496,-24.544033350703483,-97.84946236559139,0.389476,-2.061907327599377,7,3.41633008851059,-3.896873312816771,-1.6084436436884217,0.4854368932038731,8.037578288100205,-35.3125,39.11290322580644,138.47926267281107,17.45,4.23,11.152599999999998,10.492133333333335,9.475500000000004,10.187195092143101,10.829319169359852,9.770974887061685,50.41427770426054,0.5544430634829772,4.415600694838804,3.580584298315845,34801229,89651177.23333333,0.18865460018150182,3.514056224899594,99.99930000000006,5598644902,,,6414845900,7543492350,3671330700,46317.0000,12.845584,1.1861005,Buy,6.561752971727046,23.721655186283915,,1.0935632591540965,0.121062264777342,0.1101952675388658
PL,NYSE,Planet Labs PBC Class A,Technology Services,Packaged Software,7680473989,21.55,42.081038255489325,25.93594486642221,37.69636368603667,55.4592803594627,56.0561796657427,-29.8636520744193,-111.171233448148,-17.3694623553389,18.733487799250632,46551000,57648000,,,-0.08665885538969686,22.20707172258441,17.309515012289356,,22.158856027198073,-178252000,,1.09991120206264,-83.9845763562655,-44.994363401571,-16.197282586825278,-216.83687551752686,-854.6318289786225,-0.078847,22.148571523046478,3,8.53560161323312,-12.004043827678776,-1.8843628688448122,-7.6692373607540665,-3.146067415730334,-56.986027944111775,-12.04081632653061,217.8466076696165,51.76,6.255,24.912599999999994,29.90766666666667,26.676249999999985,23.059128475471535,25.580287184855415,25.38519676524334,38.641696291573446,1.4706434906550587,5.788949668726409,4.660600545459997,4367600,6396312.966666667,0.18983096629530222,2.5498377375985197,83.48590000000002,332909000,1000,307727,230083000,640732000,455184000,46268.0000,43.875,2.110413,Buy,-27.528521536670546,34.62809568221183,,1.0383298739794338,0.263987200345557,0.1347256798658762
