Symbol,Exchange,Description,Market capitalization,Price,Sector,"Gross profit growth %, Quarterly YoY","Revenue growth %, Quarterly YoY","Gross margin %, Trailing 12 months","Free cash flow margin %, Annual","Revenue growth %, Annual YoY",Price to earnings ratio,"Forward non-GAAP price to earnings, Annual","Net debt, Annual","Enterprise value to EBITDA ratio, Trailing 12 months","Enterprise value to revenue ratio, Trailing 12 months",Price to sales ratio,"Operating margin %, Trailing 12 months",Price to book ratio,"Return on equity %, Trailing 12 months",Upcoming earnings date,"Cash and equivalents, Annual","Long term debt, Annual","Earnings per share diluted growth %, TTM YoY","Return on invested capital %, Annual","Debt to equity ratio, Quarterly",Performance % 1 year,"Net margin %, Trailing 12 months","Revenue growth %, 5 year CAGR","Price to earning to growth, Trailing 12 months",Analyst Rating,"Piotroski F-score, Trailing 12 months","Altman Z-score, Trailing 12 months","Shares buyback ratio %, Annual","Interest coverage, Annual","Return on capital employed %, Annual","Sloan ratio %, Annual",Buyback yield %,"Research and development ratio, Annual","Net debt to EBITDA ratio, Annual","Revenue per employee, Annual","Sustainable growth rate, Annual",Free float %,"Free cash flow per share, Trailing 12 months","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Cash and short-term investments, Annual","Performance %, 3 months","Performance %, 6 months","Earnings per share estimate, Annual","Beta, 5 years","EBITDA margin %, Trailing 12 months","Capital expenditures per share, Trailing 12 months","Earnings per share diluted growth %, Quarterly YoY","Target price, 1 year","Average volume, 30 days","Relative strength index, 14, 1 day",Total common shares outstanding,"Number of employees, Annual","Free cash flow, Annual","Free cash flow, Trailing 12 months","High, 52 weeks","Performance %, 1 week","Performance %, 1 month","Average true range, 14, 1 day","Simple moving average, 50, 1 day","Simple moving average, 150, 1 day","Simple moving average, 200, 1 day","Volatility, 1 month","Volatility, 1 week","Low, 52 weeks","Relative volume, 1 week",Volume,"Exponential moving average, 21, 1 day"
CXW,NYSE,"CoreCivic, Inc.",3088286506,31.23,Commercial Services,36.34673511490668,25.8074154723337,17.9717997470569,2.440640345299482,12.720745741076628,25.258815917178907,19.39751552795031,1238704000,11.378207334981603,1.823280998800317,1.281264450533183,10.3886391213049,2.2128251747657157,9.00818431854471,46335.0000,112446000,1311590000,61.70546691080304,4.4742309177525,1.00140153767886,58.367139959432066,5.53231870838118,3.0205326989219294,0.39518884496814105,StrongBuy,8,1.62070374409428,8.929465415388538,3.538044962959392,7.710409204765228,3.812439101331512,7.560470815980698,,3.548542715871133,161979.48868214802,8.03857034430415,96.50649999999999,0.262901959205042,28.500429439128826,23.178790411433347,112446000,44.58333333333333,67.18415417558887,1.61,0.5751993,16.0243256703079,1.38702857257918,66.39058413251962,35.4,1220041.4333333333,59.1805245990634,98888500,13651,53967000,26113000,32.6883,1.8590998043052847,-3.3126934984520027,1.1580329186701752,28.432000000000002,22.442600000000013,21.380949999999984,4.029068527864441,3.5572432974657224,15.735,0.6850142097010926,2567950,30.458955519070365
OUST,NASDAQ,"Ouster, Inc.",2872923470.0000005,45.12,Electronic Technology,54.550174293554846,48.86614366266244,48.6111260993903,-38.285198129693484,52.45947381211691,,,-192972000,,14.657872281875576,15.9591026229968,-38.785409809529,10.388773125496472,-25.171113976788,46240.0000,68880000,12938000,50.41734527687297,-25.7668449836869,0.0630757453169388,86.21543541064794,-30.1219446392921,55.04713126282288,,Buy,6,3.35712748483892,-15.95674302336135,,-34.07127631726562,4.463593375948478,-3.3856105467369093,40.42294431587399,,529325,,93.9411,-1.1202616398071565,39.47173702537828,30.89522578252469,210052000,59.99999999999999,146.5573770491803,-0.467183,3.2446861,-31.569632547348,0.435132524315509,32.657926102502984,52.571429,4454210.133333334,55.71309257426927,63673000,320,-64849000.00000001,-69260000,63.79,33.05809495723975,-12.046783625730995,4.701490802681596,42.597,29.89483333333333,28.780124999999998,11.494691901531338,10.048177856075364,16.4,0.40281755248521117,2397575,40.26998805536309
PENG,NASDAQ,"Penguin Solutions, Inc.",2855243232,55.72,Electronic Technology,39.56124544272801,47.636553164052984,27.9239770946393,7.310961327992441,16.911400448886805,39800,21.310170060664376,279280000,17.86124334269614,2.060817147741704,2.1194072821991874,8.1323346897752,6.502721526669093,17.1713718657108,46308.0000,453754000,707339000,,2.18268497934317,1.60619822758113,134.21605716687685,5.84965112912997,4.0494686832141635,,Buy,4,2.27062156802302,1.011693601366446,10.796851471581954,6.8876623158384875,-6.797489488012058,8.991778739851785,5.830022633062387,2.067408410875954,471997.931035045,6.14235508709062,95.58509999999998,-1.2177534823747345,57.29688107155998,39.52088284907066,453754000,45.7112970711297,210.0723427935448,2.614714,2.8649385,11.5379266056773,0.195341255563491,,73.125,4290418.133333334,47.04581024038188,51242700,2900,100072000,-67053160.00000001,89.86,15.721703011422639,-13.612403100775195,6.687434338515544,62.79120000000002,37.14216666666667,33.042625,11.882566878724893,8.67757307225729,16.04,0.2766386035827654,1324267,57.83472179161844
PLUS,NASDAQ,ePlus inc.,2467109849,94.56,Technology Services,12.397406140078008,21.700357588983998,24.136179049018,-4.939921369028831,22.11719215585891,19.333864932834448,17.27123287671233,-394569000,10.696432953137903,0.8485155667296747,1.0434702026448595,6.8021153311561,2.3263829689872186,12.1294268083591,46336.0000,410769000,10800000,20.643808584114453,11.921375779783,0.0151547751573945,46.2192670480903,5.08157666437807,9.468293478020717,0.9612070178316802,StrongBuy,6,4.448104012875,0.8557641559224923,,14.727260478696907,4.697880051452814,1.0953302306726758,,-2.0363800578034685,1137127.09497207,10.26718113665606,97.8144,-4.5944710989262045,87.0992375161762,82.75810384975607,410769000,13.096519555077146,10.454386169839974,5.475,1.0039109,7.93269653955765,0.168646713883177,18.761428745580876,111,265547.7,62.360512211994575,25874900,2148,-120660000,-120660000,98.14,2.116630669546445,16.740740740740744,3.887380626506386,85.70060000000001,83.71320000000003,83.96825000000003,4.384186667692884,5.124489894903512,62.42,0.8889411309723402,478034,90.14675141278211
ICHR,NASDAQ,Ichor Holdings,2456622891,65.59,Producer Manufacturing,55.51663747810858,22.68098299935493,9.55340250198766,-0.6630070954316564,11.614529350796193,,41.77707006369427,61901000,54.745003860016276,2.3223670545319672,2.552161001909731,1.05548288835358,2.8330422831236812,-5.16592247974538,46335.0000,98290000,142691000,-92.81722550953319,-6.35867781040584,0.178096515643613,364.18966737438075,-3.97384375302095,0.7205556475821107,-0.6545504739326798,StrongBuy,3,8.05241727203503,-1.6959296141690405,0.14697885196374622,0.11630513063409008,-4.931491739661187,-8.244570248938546,2.4361263417372623,1.795376761993155,501138.022210471,,97.65709999999999,-0.705327618687521,81.05644038997659,57.929471004464524,98290000,-9.804730473047298,122.41437775517129,1.57,1.8230628,4.24215342183607,0.694997688712601,,98.875,1242812.8333333333,39.22862747160543,34867100,1891,-6283000,-25605000,113.58,-2.6421255751818333,-36.9023569023569,9.427430714252834,84.4964,60.232233333333326,49.695975,10.660827950191003,10.84051421786656,14.06,0.9406226368491171,1324141,80.75897323028958
COHU,NASDAQ,"Cohu, Inc.",2448817082,51.73,Electronic Technology,62.88484390191207,38.37481426448737,37.8067355530042,2.3697665998463426,12.737599526107637,,54.45263157894737,-153111000,157.60032336487328,4.366427634902411,4.78532629161883,-6.38174512055109,3.361834952295477,-4.83648998119157,46324.0000,227053000,316719000,55.603217158176946,-7.51715252412082,0.42764024229655,173.9936440677966,-7.42747799464218,-6.563013288725816,,StrongBuy,6,5.12937732287709,5.556339589927624,-29.418695228821814,-5.900587607750466,12.152388369260375,0.07044217441472421,20.358048022324464,,158542.527126356,,96.3665,0.737787356321839,52.49945443623383,40.78043930544486,483981000,3.917235837685809,75.29650965774312,0.95,1.590956,2.77057022579411,0.246429175118323,99.06025428413487,70.875,1295996.2333333334,49.26503067842383,47338400,2857,10734000,34918000,74.6,24.620573355817875,-14.931754645617506,5.028121966671705,56.271400000000014,41.66623333333331,37.10697500000002,8.859266630181727,11.379065385569595,18.6652,0.45771243445050225,1111888,51.52587801474642
SLDE,NASDAQ,"Slide Insurance Holdings, Inc.",2422675083,20.74,Technology Services,,47.86186913958723,,68.74074855891638,36.623249216949354,5.051882885955083,5.456698571076393,-1639632000,,1.7722674848790323,1.892981098790319,53.049323156682,2.0060646215898594,53.8821006380406,46337.0000,1682968000,35063000,-59.701990655306446,54.684193541235,0.0323480228787983,11.987041036717057,40.0173531105991,,,Buy,,,0.8361521197357706,,39.896475218048735,-8.963113308111792,9.398577696107836,,,2293454.36507937,57.4182617692706,62.8093,8.12623418243514,19.637256835528856,18.198303987935027,,10.909090909090905,21.713615023474176,3.800833,-0.041231953,,0.0192834868942982,90.4350952894642,26,1404190.1666666667,53.962085639368325,116811720,504,794575000,1034559000,23,-3.5348837209302397,-0.4320691310609691,0.8768378439081992,19.085700000000017,18.306100000000004,17.941975000000003,4.540625916243548,4.626323969545453,12.53,0.4836893408724234,815965,20.39702812567402
PLPC,NASDAQ,Preformed Line Products Company,2303995918,471.29,Producer Manufacturing,31.79299265329699,25.400793627396062,31.4394957812891,4.9802939620938895,12.737445975671788,53.12824097037472,35.51544837980407,-35497000,25.0843100609689,3.0795048577662785,2.7436663942012176,8.9844694692328,4.651214660923895,9.02207627300506,46330.0000,83389000,39317000,3.636894678427469,7.33277427761792,0.10407386213130099,204.33294588660723,5.82215887212813,7.490049546327038,13.129930861278314,StrongBuy,5,8.98787046123105,0.11873117605122815,42.23714504988488,10.959054138145612,0.7944971168307023,0.7040377056779143,3.538869748916093,-0.4547108179081535,179254.954472416,6.967881629131801,54.572900000000004,7.17939090529829,352.723491646355,295.58038919022613,83389000,28.5289625831788,75.40288064312034,13.27,0.9146739,12.2766177354743,7.86983729662078,74.96977496977497,480,103011.76666666666,72.5102066107867,4888700,3734,33335000,34418000,475.69,58.87072307433004,27.011804020913065,29.525214288605603,363.5296000000002,309.2974333333333,285.566025,7.367342750894538,10.240973735198585,153.22,0.7739669451505894,144691,358.06831500420094
FLYW,NASDAQ,Flywire Corporation - Voting,2266806059,18.65,Commercial Services,32.5706717222215,40.958546893264995,56.0623298435114,15.74045985313591,26.594045645177022,80.52677029360967,45.23635693304776,-353649000,29.635590888987174,2.8673735717922044,3.258660748105684,5.17334749920686,2.6988073152872603,3.68776401732241,46336.0000,330303000,0,721.2765957446808,1.63606147624941,0.00170494280873194,73.32713754646839,4.45265868360669,36.43607489978875,0.10332380617583975,Buy,6,3.51042790950265,1.7161062452629439,6.234826999432786,2.610583765432209,8.642134885698944,1.3722832562801086,10.193330925725292,-7.114815112863638,445017.85714285704,1.63606147624941,92.9074,1.2595718417082327,16.544111150611826,14.72871376739006,354995000,5.6657223796034,70.1642335766423,0.412279,1.3411666,9.67543917896958,0.103434376124939,,20.5,2472984.5,63.398456732923506,121545000,1400,98067000,161157000,18.98,12.688821752265847,-0.4536962903656304,0.7632064738465153,16.5389,14.321833333333322,14.19867499999999,4.197682158196753,4.44916624340294,10.55,0.9876133670380275,5678541,17.03508112899468
INOD,NASDAQ,Innodata Inc.,2265302230,69.37,Technology Services,68.55036855036855,54.4220485396956,40.6587513010956,14.164974589033747,47.63670282351975,62.55748940391379,64.26123205187588,-77800000,38.972639404531215,7.592936965227669,8.812201612476407,16.8357355820969,17.661870778349506,38.5701594656013,46240.0000,82230000,3228000,6.635253389749009,36.2351722468374,0.0319590201001107,54.447289324279204,13.8637686784397,34.00456725975363,9.542212350403382,StrongBuy,6,12.3241039805553,-3.313099041533554,,41.89704381158727,-2.0564317616982946,-0.1467795314888292,,-1.6514189891957294,24899.871376273903,37.7230873828517,94.9218,1.7420724165073653,70.6133676580079,63.30980561775749,82230000,46.939207794958705,53.77964974506762,1.0795,2.9241629,19.4827373286523,0.314151579894299,87.97127468581688,122.75,1174771.3333333333,52.651282531285936,32655400,10107,35648000,61969000,125.14,21.064572425828985,2.330727245906473,5.082558849245578,80.70520000000002,62.07313333333338,61.817300000000024,6.859526074280193,6.942066570273805,34.2301,0.8389504628575977,1839580,65.73465149086796
CTRI,NYSE,"Centuri Holdings, Inc.",2244408744,22.23,Utilities,107.42663656884876,31.466820341004325,7.37691048501938,-0.2750453352089879,13.102843932021072,65.69148936170214,32.51754235837755,811479000,11.483052275889484,0.9885206899895242,0.6987805343305837,3.38828483012947,2.6003497546453618,4.4049493298557,46337.0000,126630000,870762000,3122.857142857142,1.37819879663767,1.07829208739075,3.684701492537309,0.976116283476463,8.891415290181337,0.020704504703258863,Neutral,6,2.84459806770868,-13.790875368052838,1.4569943580099163,5.255845937986647,1.2579566396545672,-11.179915453047263,,3.079902831200409,307915.866625374,3.135410679997,85.3819,-0.5535326275684846,28.154436006893903,27.915273144861995,126630000,-40.75159914712154,-22,0.683631,1.1068876,8.60851859104641,0.815535425492861,53.35636722606121,31.583333,2034594.9666666666,33.03154979706436,100934660,9687,-8204000.000000001,-55790000,42.985,-14.532871972318343,-19.51484431571325,1.6874797302866962,28.537400000000005,29.96056666666668,28.143675,5.642087446545897,9.606019127015424,19.04,2.2704158878114336,5324323,26.492821095332268
PDFS,NASDAQ,"PDF Solutions, Inc.",2070777281,49.46,Technology Services,22.319640005806356,25.85290300975344,70.23416430399,-4.014171962889911,22.04273813835567,275.85052983825994,39.25396825396825,30599000,72.98829217794062,9.126375600753752,8.92958254097227,6.79197496715303,7.0383051146535065,2.71340743608874,46240.0000,42220000,68601000,395.3038674033148,-0.217256994656836,0.256716524343501,114.85664639443962,3.1044706451836,19.99313916509906,0.7219449189584624,StrongBuy,7,5.85657069329663,-1.9071673410478978,1.4783817951959546,1.943968361889975,26.909196865513724,-0.196109935977224,29.327379647892464,1.7803572467562692,365040,,88.9766,-0.4471605121727716,51.890016387500665,41.8324503515348,42220000,1.979381443298971,77.46681019016864,1.26,1.6680897,12.5038897724915,0.870346979716175,,59.7,650242.9333333333,46.86700075293946,41867700,600,-8792000,-18055000,71.685,12.498578414648009,-16.551375063269784,4.094477910310667,55.429200000000016,42.80786666666665,39.08609999999998,7.0707923881550006,6.534261392596852,18.12,0.3911128591068214,332062,50.731591334247135
SEDG,NASDAQ,"SolarEdge Technologies, Inc.",2061737174,33.9,Producer Manufacturing,277.5567867036011,41.471204665573175,18.1237431054557,6.82125959521936,31.392325304840167,,,-173670000,,1.4766764858306578,2.313525665133893,-15.1477304355666,5.019790412644541,-72.5005547633524,46240.0000,539846000,386767000,79.65239550463373,-43.3227407845894,0.9844833463186601,30.98918083462133,-28.5614266169593,-4.087388499046007,,Neutral,5,0.85333716052676,-4.020581684503897,-9.40233926786838,-17.11851985383186,-40.76589890724656,-0.18673573181641628,18.99000712570624,,331220.357941834,,98.25460000000001,1.285699574441984,50.002513815037055,44.190111020489695,577943000,-16.952474277315048,-0.5865102639296271,-0.187448,1.4839649,-13.2307040961532,0.281886578847736,44.079995280514424,39.473684,2841010.8333333335,34.24022642265048,60818200,3576,80794000,77807000,81.25,-16.9321244792943,-36.38581347344718,5.1101240275746695,55.53799999999998,45.4438,42.70334999999999,9.44632969892741,11.207004116514856,23.01,1.8262946252901666,16843834,46.33968449406302
