Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,YOY Quarterly profit growth,YOY Quarterly sales growth,Price to Earning,Return over 1year,Debt to equity,CFO to PAT,PEG Ratio,Sales growth,Profit growth,Promoter holding,Return on invested capital,Return on capital employed,OPM,Free cash flow last year,Debt,EPS,DII holding,FII holding,Sales growth 3Years,Average return on capital employed 3Years,Pledged percentage,EVEBITDA,From 52w high,GPM latest quarter,Industry PE,Price to book value,Working Capital Days,Average Working Capital Days 3years,Interest Coverage Ratio,Change in FII holding 3Years,Change in DII holding 3Years,Sales preceding quarter,Sales latest quarter,Sales,Profit after tax latest quarter,Profit growth 3Years,Sales 2quarters back,Sales 3quarters back,OPM latest quarter,Net profit 2quarters back,Net profit 3quarters back,Profit after tax preceding quarter,Change in promoter holding 3Years,Debt 3Years back,Historical PE 5Years,OPM last year,OPM preceding year,OPM 5Year,OPM preceding quarter,Book value,EBIT,Enterprise Value,DMA 200,DMA 50
Imagica. Enter.,539056,IMAGICAA,INE172N01012,Leisure Services,Amusement Parks/ Other Recreation,47.22,2679.33,26.19,19.92,210.31,-19.05,0.27,171.75,-2.39,7.75,-77.57,74.02,0.16,1.86,33.09,62.17,342.52,0.25,1.88,0.36,14.27,4.11,0.00,20.94,0.76,90.96,21.75,2.13,-126.09,-226.43,2.01,0.32,-6.93,91.86,177.60,403.35,57.15,-87.96,92.08,41.81,50.73,-5.17,-38.91,0.34,3.16,1045.75,36.55,31.03,42.77,37.39,32.97,22.16,45.85,2994.73,48.74,47.00
Jindal Drilling,511034,JINDRILL,INE742C01031,Oil,Offshore Support Solution Drilling,594.70,1722.57,-28.69,8.38,8.84,-1.68,0.05,0.85,0.29,11.72,-18.20,66.78,15.15,15.40,33.48,129.16,93.18,66.13,0.01,0.42,24.84,12.75,0.00,4.18,0.86,100.00,18.18,0.95,67.22,10.31,35.77,0.09,0.01,262.87,275.39,1017.87,47.14,30.53,241.58,238.03,35.72,-33.39,132.52,48.53,3.38,206.72,9.11,35.04,29.05,29.68,29.71,628.07,261.45,1729.72,577.13,593.44
Kaira Can,504840,,INE375D01012,Industrial Products,Packaging,1660.00,153.07,45.63,18.85,67.73,-1.74,0.07,-0.61,-1.72,7.12,-44.33,44.80,2.38,3.68,2.95,-3.62,6.67,24.51,0.00,0.00,-1.06,5.29,23.08,19.98,0.94,16.92,20.63,1.69,62.37,57.20,7.47,0.00,0.00,64.20,86.74,259.63,1.50,-39.34,52.95,55.74,4.05,-0.14,0.40,0.50,-0.61,0.00,37.48,2.71,3.20,4.70,2.13,984.06,4.41,158.44,1528.53,1555.49
Lak. Electrical,504258,,INE284C01018,Electrical Equipment,Other Electrical Equipment,825.95,203.19,-8.77,25.83,175.16,-13.15,0.06,3.10,-2.88,17.73,-63.86,36.14,1.82,0.82,0.35,-1.54,14.43,4.64,0.00,0.00,-13.00,3.33,0.00,31.88,0.82,24.10,29.23,0.80,64.13,66.33,2.68,0.00,0.00,68.47,65.92,251.10,0.52,-60.81,58.39,58.32,0.30,-1.05,0.48,1.19,0.00,7.60,21.42,0.47,2.27,4.93,2.02,1038.12,2.65,201.45,825.26,800.43
Lotus Eye Hospit,532998,LOTUSEYE,INE947I01017,Healthcare Services,Hospital,117.15,243.36,12.96,26.18,1521.02,53.98,0.26,37.75,-20.83,14.09,-75.38,40.14,1.19,1.16,8.49,-10.01,15.83,0.07,0.02,0.00,4.53,3.74,87.15,42.14,0.77,71.34,45.01,4.05,-12.23,-3.28,1.19,0.00,0.02,13.61,17.06,57.26,0.61,-73.03,13.55,13.04,17.29,-0.26,0.12,-0.31,-18.30,0.67,45.66,6.29,7.18,11.45,3.53,28.92,1.49,255.36,113.28,119.25
Machino Plastics,523248,,INE082B01018,Auto Components,Auto Components & Equipments,259.00,159.02,-66.00,17.71,15902.45,3.54,1.83,31.14,-2646.00,25.89,-99.89,75.00,3.40,6.72,7.70,-43.04,250.06,0.02,0.01,0.00,14.11,9.00,0.00,10.30,0.58,44.45,30.31,1.16,-41.03,-32.92,1.01,0.00,0.00,143.41,133.33,512.21,0.68,-6.01,125.81,109.66,9.53,-1.47,0.55,0.25,0.26,87.54,38.30,7.36,8.44,7.31,8.51,222.98,21.38,408.81,271.21,266.95
Mysore Petro,506734,,INE741A01011,Chemicals & Petrochemicals,Trading - Chemicals,102.04,67.18,2490.00,57.58,6.24,-15.42,0.00,10.49,-0.09,86.45,-17.15,72.99,5.17,0.34,-15.55,8.61,0.17,16.36,0.44,3.03,41.55,4.35,0.00,4.60,0.82,3.58,23.08,0.30,-15.94,-24.00,171.25,3.03,0.00,21.59,11.44,56.40,9.56,-70.98,18.34,5.03,-2.88,-1.91,0.10,3.02,0.00,0.00,6.36,-14.14,-16.70,-18.11,-10.93,341.54,13.70,64.72,102.57,98.80
Naperol Invest.,500298,,INE585A01020,Finance,Investment Company,670.10,385.11,125.00,192.57,35.69,-26.29,0.00,-0.81,0.14,46.27,-1.55,70.77,59.75,1.07,34.00,-8.66,0.00,18.95,0.01,1.76,141.80,0.68,0.00,34.09,0.68,8.57,28.06,0.42,225.94,-5.93,,1.76,0.00,19.53,9.45,32.94,0.18,259.71,1.02,2.94,1.90,-0.59,-0.01,11.22,0.01,0.00,75.37,41.35,58.19,15.97,56.84,1608.63,11.26,383.83,698.86,645.10
Niva Bupa Health,544286,NIVABUPA,INE995S01015,Insurance,General Insurance,84.18,15553.91,92.89,27.93,89.26,3.35,0.07,6.92,0.70,27.91,-42.64,55.30,3.15,3.15,2.76,856.63,250.00,0.94,16.17,12.09,32.88,4.85,0.00,64.76,0.92,100.00,39.78,4.11,-354.32,-334.30,,,,2251.06,2471.26,7907.38,137.80,127.48,1611.03,1574.03,7.45,-87.64,-35.27,159.36,,250.00,90.00,2.40,1.54,-3.11,8.07,20.49,241.57,15645.25,80.99,85.04
Oriental Aromat.,500078,OAL,INE959C01023,Chemicals & Petrochemicals,Specialty Chemicals,360.55,1222.94,402.00,15.20,229.88,8.88,0.61,0.73,-5.13,13.54,-77.68,74.17,1.98,4.47,6.55,-9.22,402.60,1.58,0.00,0.02,6.49,5.47,0.00,20.12,0.89,33.77,28.76,1.83,87.22,93.97,1.38,-0.11,-0.75,282.37,259.81,1065.07,2.51,-44.82,251.56,271.33,7.62,-1.92,0.74,3.99,0.00,231.03,46.85,6.60,10.07,7.85,6.89,197.46,48.96,1610.93,324.54,350.03
