Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,YOY Quarterly profit growth,YOY Quarterly sales growth,Price to Earning,Return over 1year,Debt to equity,CFO to PAT,PEG Ratio,Sales growth,Profit growth,Promoter holding,Return on invested capital,Return on capital employed,OPM,Free cash flow last year,Debt,EPS,DII holding,FII holding,Sales growth 3Years,Average return on capital employed 3Years,Pledged percentage,EVEBITDA,From 52w high,GPM latest quarter,Industry PE,Price to book value,Working Capital Days,Average Working Capital Days 3years,Interest Coverage Ratio,Change in FII holding 3Years,Change in DII holding 3Years,Sales preceding quarter,Sales latest quarter,Sales,Profit after tax latest quarter,Profit growth 3Years,Sales 2quarters back,Sales 3quarters back,OPM latest quarter,Net profit 2quarters back,Net profit 3quarters back,Profit after tax preceding quarter,Change in promoter holding 3Years,Debt 3Years back,Historical PE 5Years,OPM last year,OPM preceding year,OPM 5Year,OPM preceding quarter,Book value,EBIT,Enterprise Value,DMA 200,DMA 50
Inox Green,543667,INOXGREEN,INE510W01014,Commercial Services & Supplies,Diversified Commercial Services,170.85,6859.51,84.75,-22.97,55.95,5.28,0.05,0.65,0.81,16.34,204.19,56.12,15.85,8.42,8.60,65.11,88.28,3.12,1.87,7.86,3.39,4.88,0.00,32.24,0.63,100.00,18.64,4.02,225.05,452.70,26.14,-0.56,-2.22,68.67,43.29,275.78,40.70,68.67,77.95,85.87,-2.17,24.66,28.07,28.11,0.08,594.98,158.12,8.22,22.05,24.81,-4.08,42.52,188.45,6443.21,177.11,177.65
Inox India,544046,INOXINDIA,INE616N01034,Industrial Products,Other Industrial Products,2040.85,18523.45,-4.99,9.18,71.98,83.92,0.07,0.45,3.72,19.94,12.26,74.86,32.93,33.48,21.13,10.98,81.04,28.08,7.67,6.86,18.00,38.17,0.00,48.15,0.87,61.14,25.72,16.55,82.67,62.62,34.69,,,460.65,370.79,1618.22,58.07,19.34,428.56,358.22,20.46,60.70,60.84,72.84,,8.99,51.64,21.61,21.82,21.69,20.55,123.13,350.37,18581.03,1619.38,2000.67
Insolation Ener,543620,INA,INE0LGX01024,Power,Power Generation,86.76,1912.67,-13.80,104.68,9.87,-52.01,1.10,-0.36,0.06,60.90,58.45,66.12,18.69,22.20,11.98,-520.93,887.91,8.84,1.27,0.84,97.31,34.91,0.00,7.04,0.39,16.27,21.41,2.43,22.19,10.04,8.29,0.84,1.27,793.93,740.70,2524.83,37.04,165.57,575.34,414.86,9.74,50.72,36.95,70.07,-3.77,67.92,39.10,13.38,12.09,11.93,13.94,36.62,273.73,2279.64,128.08,102.11
IZMO,532341,IZMO,INE848A01014,IT - Services,IT Enabled Services,894.05,1339.30,103.33,15.70,24.86,4.28,0.01,0.42,0.74,25.79,5.60,34.79,12.08,12.58,20.03,-12.81,5.26,35.97,0.52,3.35,22.80,10.03,0.00,18.29,0.65,96.59,25.81,3.24,142.29,98.86,32.92,1.92,0.52,109.16,65.38,293.76,12.20,33.43,59.11,60.11,25.08,11.70,12.56,17.30,6.23,10.79,11.84,18.28,17.41,18.96,13.59,273.33,55.63,1334.27,838.86,928.84
Jaykay Enter.,500306,JAYKAY,INE903A01025,Aerospace & Defense,Aerospace & Defense,158.35,2388.82,-78.19,34.48,58.61,15.07,0.06,0.19,0.26,117.55,85.18,65.19,17.87,8.18,10.68,6.20,39.12,14.36,0.00,0.17,76.47,3.78,0.00,45.83,0.70,92.34,83.76,3.50,186.11,313.96,5.05,0.02,-2.33,61.16,74.57,258.77,4.41,229.17,59.97,63.07,14.24,6.78,8.77,18.50,8.91,26.21,69.03,16.39,-0.58,10.24,-9.88,45.70,35.20,2378.80,154.43,154.32
JNK,544167,JNKINDIA,INE0OAF01028,Industrial Manufacturing,Industrial Products,418.50,2341.71,915.04,81.59,31.10,38.38,0.16,-0.03,2.60,84.36,201.64,67.80,14.40,17.35,11.62,-11.51,90.71,13.46,10.91,0.94,26.22,26.19,0.00,17.71,0.75,24.48,34.72,4.17,131.03,146.64,6.41,,,338.44,179.96,899.42,11.47,11.94,202.64,178.38,8.84,17.63,13.02,32.65,,44.07,43.88,11.23,9.76,14.56,13.64,101.45,115.95,2233.42,383.46,440.77
Khaitan (India),590068,KHAITANLTD,INE731C01018,Consumer Durables,Consumer Electronics,156.90,74.52,56.41,39.75,10.71,31.13,0.16,1.56,0.09,41.11,7.74,60.24,23.10,20.10,6.55,9.20,5.42,14.65,0.03,0.00,23.58,18.33,32.85,8.58,0.88,18.19,38.24,2.22,-57.60,-103.59,5.51,0.00,0.00,36.16,41.45,124.02,2.44,120.06,26.83,19.58,6.44,1.24,0.34,2.94,-0.01,10.24,10.24,6.61,9.41,5.09,8.21,70.61,8.43,75.92,126.69,145.59
Kirl. Electric,533193,KECL,INE134B01017,Electrical Equipment,Other Electrical Equipment,118.90,789.68,-1526.19,-21.47,51.48,2.54,0.76,3.03,-1.78,3.38,298.70,49.74,16.22,14.59,5.04,36.20,100.32,1.12,1.25,4.06,7.56,13.68,75.33,19.26,0.77,30.95,26.25,5.96,-163.02,-184.66,1.65,-0.10,-0.30,163.57,103.85,560.95,-5.99,-28.99,151.42,142.11,-0.36,4.10,9.98,-0.63,0.23,133.45,37.38,6.03,2.85,4.34,3.94,19.85,40.27,858.07,118.64,127.86
Knowledge Marine,543273,KMEW,INE0CJD01029,Engineering Services,Dredging,2765.00,7013.21,447.74,138.11,54.16,147.80,0.39,0.94,2.95,56.87,155.66,49.99,39.03,16.37,46.57,-44.70,222.06,53.45,3.90,12.64,8.34,21.29,0.00,42.42,0.86,100.00,65.09,11.91,-67.07,-23.54,9.03,12.06,3.90,67.62,115.41,323.21,61.73,18.39,90.01,50.17,63.61,32.90,11.89,26.21,-17.10,24.71,36.48,37.87,38.98,36.94,27.49,233.22,147.29,7158.68,2054.88,2655.27
Krishna Defence,,KRISHNADEF,INE0J5601015,Aerospace & Defense,Aerospace & Defense,1026.70,1534.66,32.92,-15.18,37.45,24.75,0.01,2.26,0.40,29.10,73.10,59.90,38.60,31.07,23.28,66.43,2.17,27.47,1.32,1.36,56.93,24.14,0.00,25.73,0.73,47.60,83.76,8.06,53.44,110.37,159.88,1.36,1.32,64.85,57.60,234.47,11.67,93.00,63.66,48.36,26.32,10.18,6.86,12.30,-13.47,18.52,53.23,21.53,16.50,17.71,24.75,127.33,54.36,1505.75,1055.90,1116.90
